200	215.664
200.5	215.627
201	215.59
201.5	215.552
202	215.515
202.5	215.48
203	215.446
203.5	215.413
204	215.38
204.5	215.346
205	215.312
205.5	215.276
206	215.241
206.5	215.205
207	215.17
207.5	215.138
208	215.106
208.5	215.075
209	215.044
209.5	215.011
210	214.978
210.5	214.945
211	214.911
211.5	214.877
212	214.845
212.5	214.815
213	214.785
213.5	214.755
214	214.725
214.5	214.694
215	214.663
215.5	214.631
216	214.598
216.5	214.566
217	214.536
217.5	214.507
218	214.479
218.5	214.451
219	214.422
219.5	214.393
220	214.363
220.5	214.332
221	214.302
221.5	214.271
222	214.242
222.5	214.214
223	214.187
223.5	214.16
224	214.133
224.5	214.105
225	214.077
225.5	214.048
226	214.019
226.5	213.99
227	213.961
227.5	213.935
228	213.908
228.5	213.883
229	213.857
229.5	213.831
230	213.804
230.5	213.777
231	213.749
231.5	213.721
232	213.693
232.5	213.667
233	213.642
233.5	213.616
234	213.592
234.5	213.567
235	213.542
235.5	213.516
236	213.49
236.5	213.463
237	213.437
237.5	213.41
238	213.385
238.5	213.361
239	213.337
239.5	213.313
240	213.29
240.5	213.266
241	213.241
241.5	213.216
242	213.19
242.5	213.164
243	213.139
243.5	213.115
244	213.091
244.5	213.068
245	213.046
245.5	213.023
246	213
246.5	212.976
247	212.952
247.5	212.928
248	212.903
248.5	212.878
249	212.854
249.5	212.832
250	212.809
250.5	212.787
251	212.766
251.5	212.744
252	212.721
252.5	212.698
253	212.675
253.5	212.651
254	212.627
254.5	212.603
255	212.581
255.5	212.559
256	212.538
256.5	212.517
257	212.496
257.5	212.474
258	212.452
258.5	212.43
259	212.407
259.5	212.384
260	212.361
260.5	212.338
261	212.317
261.5	212.296
262	212.275
262.5	212.254
263	212.234
263.5	212.213
264	212.192
264.5	212.17
265	212.148
265.5	212.126
266	212.104
266.5	212.081
267	212.06
267.5	212.04
268	212.019
268.5	211.999
269	211.979
269.5	211.959
270	211.939
270.5	211.918
271	211.897
271.5	211.875
272	211.854
272.5	211.832
273	211.81
273.5	211.791
274	211.77
274.5	211.75
275	211.731
275.5	211.712
276	211.692
276.5	211.672
277	211.652
277.5	211.631
278	211.61
278.5	211.589
279	211.567
279.5	211.547
280	211.527
280.5	211.508
281	211.488
281.5	211.47
282	211.451
282.5	211.431
283	211.412
283.5	211.392
284	211.371
284.5	211.35
285	211.33
285.5	211.309
286	211.289
286.5	211.27
287	211.25
287.5	211.231
288	211.213
288.5	211.195
289	211.176
289.5	211.156
290	211.137
290.5	211.117
291	211.097
291.5	211.077
292	211.056
292.5	211.036
293	211.017
293.5	210.998
294	210.979
294.5	210.961
295	210.943
295.5	210.924
296	210.906
296.5	210.887
297	210.867
297.5	210.847
298	210.827
298.5	210.808
299	210.788
299.5	210.768
300	210.75
300.5	210.731
301	210.712
301.5	210.694
302	210.676
302.5	210.658
303	210.64
303.5	210.621
304	210.602
304.5	210.582
305	210.563
305.5	210.543
306	210.523
306.5	210.504
307	210.486
307.5	210.467
308	210.449
308.5	210.431
309	210.413
309.5	210.395
310	210.377
310.5	210.359
311	210.34
311.5	210.321
312	210.301
312.5	210.282
313	210.263
313.5	210.243
314	210.225
314.5	210.207
315	210.188
315.5	210.17
316	210.153
316.5	210.135
317	210.117
317.5	210.099
318	210.081
318.5	210.062
319	210.043
319.5	210.024
320	210.005
320.5	209.985
321	209.967
321.5	209.948
322	209.93
322.5	209.912
323	209.894
323.5	209.877
324	209.86
324.5	209.842
325	209.824
325.5	209.805
326	209.787
326.5	209.768
327	209.749
327.5	209.73
328	209.711
328.5	209.692
329	209.674
329.5	209.656
330	209.637
330.5	209.62
331	209.603
331.5	209.586
332	209.568
332.5	209.55
333	209.532
333.5	209.513
334	209.495
334.5	209.476
335	209.457
335.5	209.438
336	209.419
336.5	209.401
337	209.383
337.5	209.365
338	209.347
338.5	209.33
339	209.313
339.5	209.295
340	209.278
340.5	209.26
341	209.241
341.5	209.223
342	209.204
342.5	209.185
343	209.167
343.5	209.148
344	209.129
344.5	209.111
345	209.093
345.5	209.075
346	209.058
346.5	209.041
347	209.023
347.5	209.006
348	208.988
348.5	208.97
349	208.952
349.5	208.934
350	208.915
350.5	208.897
351	208.878
351.5	208.859
352	208.841
352.5	208.823
353	208.805
353.5	208.786
354	208.769
354.5	208.752
355	208.735
355.5	208.717
356	208.7
356.5	208.682
357	208.664
357.5	208.646
358	208.627
358.5	208.608
359	208.59
359.5	208.571
360	208.552
360.5	208.535
361	208.516
361.5	208.498
362	208.48
362.5	208.463
363	208.446
363.5	208.429
364	208.411
364.5	208.394
365	208.376
365.5	208.358
366	208.339
366.5	208.321
367	208.302
367.5	208.284
368	208.265
368.5	208.247
369	208.229
369.5	208.211
370	208.192
370.5	208.174
371	208.157
371.5	208.14
372	208.123
372.5	208.106
373	208.088
373.5	208.07
374	208.052
374.5	208.034
375	208.015
375.5	207.997
376	207.978
376.5	207.959
377	207.941
377.5	207.923
378	207.905
378.5	207.886
379	207.868
379.5	207.851
380	207.834
380.5	207.817
381	207.799
381.5	207.782
382	207.764
382.5	207.746
383	207.728
383.5	207.71
384	207.691
384.5	207.672
385	207.654
385.5	207.635
386	207.617
386.5	207.599
387	207.581
387.5	207.562
388	207.544
388.5	207.527
389	207.51
389.5	207.493
390	207.475
390.5	207.458
391	207.44
391.5	207.422
392	207.404
392.5	207.385
393	207.367
393.5	207.348
394	207.33
394.5	207.311
395	207.292
395.5	207.274
396	207.256
396.5	207.238
397	207.22
397.5	207.202
398	207.185
398.5	207.168
399	207.151
399.5	207.133
400	207.115
400.5	207.097
401	207.079
401.5	207.061
402	207.042
402.5	207.024
403	207.005
403.5	206.987
404	206.968
404.5	206.95
405	206.932
405.5	206.913
406	206.895
406.5	206.877
407	206.86
407.5	206.843
408	206.825
408.5	206.808
409	206.79
409.5	206.772
410	206.754
410.5	206.736
411	206.717
411.5	206.699
412	206.68
412.5	206.662
413	206.643
413.5	206.624
414	206.606
414.5	206.588
415	206.57
415.5	206.551
416	206.533
416.5	206.516
417	206.499
417.5	206.482
418	206.464
418.5	206.446
419	206.428
419.5	206.41
420	206.392
420.5	206.374
421	206.355
421.5	206.337
422	206.318
422.5	206.299
423	206.28
423.5	206.262
424	206.244
424.5	206.226
425	206.207
425.5	206.189
426	206.171
426.5	206.154
427	206.137
427.5	206.119
428	206.102
428.5	206.084
429	206.066
429.5	206.048
430	206.029
430.5	206.011
431	205.992
431.5	205.974
432	205.955
432.5	205.936
433	205.917
433.5	205.899
434	205.881
434.5	205.862
435	205.844
435.5	205.825
436	205.808
436.5	205.791
437	205.774
437.5	205.756
438	205.738
438.5	205.72
439	205.702
439.5	205.684
440	205.666
440.5	205.647
441	205.629
441.5	205.61
442	205.592
442.5	205.573
443	205.554
443.5	205.536
444	205.517
444.5	205.499
445	205.48
445.5	205.462
446	205.444
446.5	205.427
447	205.409
447.5	205.392
448	205.374
448.5	205.356
449	205.338
449.5	205.32
450	205.302
450.5	205.283
451	205.265
451.5	205.246
452	205.228
452.5	205.209
453	205.19
453.5	205.171
454	205.153
454.5	205.135
455	205.116
455.5	205.097
456	205.079
456.5	205.061
457	205.044
457.5	205.027
458	205.009
458.5	204.991
459	204.973
459.5	204.955
460	204.937
460.5	204.919
461	204.9
461.5	204.882
462	204.863
462.5	204.845
463	204.826
463.5	204.807
464	204.788
464.5	204.77
465	204.751
465.5	204.733
466	204.714
466.5	204.695
467	204.677
467.5	204.66
468	204.643
468.5	204.625
469	204.607
469.5	204.59
470	204.572
470.5	204.553
471	204.535
471.5	204.517
472	204.498
472.5	204.48
473	204.461
473.5	204.442
474	204.423
474.5	204.405
475	204.386
475.5	204.367
476	204.349
476.5	204.33
477	204.311
477.5	204.293
478	204.275
478.5	204.258
479	204.24
479.5	204.223
480	204.205
480.5	204.187
481	204.169
481.5	204.151
482	204.133
482.5	204.114
483	204.096
483.5	204.077
484	204.058
484.5	204.04
485	204.021
485.5	204.002
486	203.983
486.5	203.965
487	203.946
487.5	203.927
488	203.908
488.5	203.89
489	203.872
489.5	203.854
490	203.837
490.5	203.819
491	203.802
491.5	203.784
492	203.766
492.5	203.748
493	203.729
493.5	203.711
494	203.693
494.5	203.674
495	203.655
495.5	203.637
496	203.618
496.5	203.599
497	203.58
497.5	203.561
498	203.543
498.5	203.524
499	203.505
499.5	203.487
500	203.468
500.5	203.45
501	203.433
501.5	203.415
502	203.397
502.5	203.38
503	203.362
503.5	203.344
504	203.326
504.5	203.307
505	203.289
505.5	203.271
506	203.252
506.5	203.233
507	203.215
507.5	203.196
508	203.177
508.5	203.158
509	203.139
509.5	203.121
510	203.102
510.5	203.083
511	203.064
511.5	203.046
512	203.027
512.5	203.01
513	202.993
513.5	202.975
514	202.957
514.5	202.939
515	202.921
515.5	202.903
516	202.885
516.5	202.867
517	202.848
517.5	202.83
518	202.811
518.5	202.793
519	202.774
519.5	202.755
520	202.736
520.5	202.717
521	202.699
521.5	202.68
522	202.661
522.5	202.643
523	202.624
523.5	202.605
524	202.587
524.5	202.569
525	202.552
525.5	202.534
526	202.516
526.5	202.499
527	202.481
527.5	202.463
528	202.444
528.5	202.426
529	202.408
529.5	202.389
530	202.371
530.5	202.352
531	202.333
531.5	202.315
532	202.296
532.5	202.277
533	202.258
533.5	202.239
534	202.221
534.5	202.202
535	202.183
535.5	202.164
536	202.145
536.5	202.128
537	202.111
537.5	202.093
538	202.075
538.5	202.058
539	202.04
539.5	202.022
540	202.004
540.5	201.985
541	201.967
541.5	201.949
542	201.93
542.5	201.911
543	201.893
543.5	201.874
544	201.855
544.5	201.837
545	201.818
545.5	201.799
546	201.78
546.5	201.762
547	201.743
547.5	201.724
548	201.705
548.5	201.686
549	201.669
549.5	201.651
550	201.634
550.5	201.616
551	201.598
551.5	201.581
552	201.563
552.5	201.545
553	201.526
553.5	201.508
554	201.49
554.5	201.471
555	201.453
555.5	201.434
556	201.415
556.5	201.397
557	201.378
557.5	201.359
558	201.34
558.5	201.322
559	201.303
559.5	201.284
560	201.266
560.5	201.247
561	201.228
561.5	201.21
562	201.192
562.5	201.175
563	201.157
563.5	201.139
564	201.122
564.5	201.104
565	201.086
565.5	201.068
566	201.05
566.5	201.031
567	201.013
567.5	200.994
568	200.976
568.5	200.957
569	200.939
569.5	200.92
570	200.901
570.5	200.882
571	200.864
571.5	200.845
572	200.826
572.5	200.808
573	200.789
573.5	200.77
574	200.751
574.5	200.733
575	200.715
575.5	200.698
576	200.68
576.5	200.663
577	200.645
577.5	200.627
578	200.609
578.5	200.591
579	200.573
579.5	200.555
580	200.537
580.5	200.518
581	200.5
581.5	200.481
582	200.463
582.5	200.444
583	200.425
583.5	200.407
584	200.388
584.5	200.369
585	200.351
585.5	200.332
586	200.313
586.5	200.295
587	200.276
587.5	200.257
588	200.239
